Symbol,Market_Cap_Atual
CSBR,86514925.98
CSCL,0.0
CSCO,477504809664.75
CSCS,0.0
CSGP,12356843935.9
CSHR,506036002.56
CSHRW,0.0
CSIQ,1000119112.77
CSPI,87725787.37
CSQ,3252296197.8
CSTE,62930276.5
CSTL,648454373.76
CSWC,1446636101.28
CSX,85771689592.96
CTAA,124273950.0
CTAAR,0.0
CTAAU,0.0
CTAS,67543105512.8
CTBI,1272913567.68
CTEC,0.0
CTKB,525610329.09
CTMX,685764194.85
CTNM,389741375.07
CTNT,5202445.6
CTOR,64157030.76
CTRM,20290943.4
CTRN,515534292.72
CTSH,19369350000.0
CTSO,27001741.64
CTW,118944000.0
CTXR,15373439.2
CUB,231943609.56
CUBWU,294667035.0
CUBWW,0.0
CUE,112989226.7
CULP,39507886.08
CUPR,3627262.5
CURI,147033248.0
CURR,326740285.35
CURX,7652019.24
CUSD,0.0
CV,324763309.0
CVBF,3802609473.8
CVCO,4508905635.0
CVGI,160554476.72
CVKD,9419435.82
CVLT,5165816019.21
CVNX,0.0
CVRX,136660111.6
CVV,49277613.9
CWBC,698434462.44
CWCO,471045593.6
CWD,6267357.48
CWST,5396741639.38
CWY,0.0
CXAI,23999063.22
CXAIW,0.0
CXDO,237280530.36
CXIIU,0.0
CXSE,0.0
CYAB,6328885.95
CYCN,14160126.78
CYCU,6746690.16
CYCUW,0.0
CYN,16586773.15
CYPH,69201913.3
CYRX,743938139.88
CYTK,10863005145.93
CZAR,0.0
CZFS,333991101.36
CZNC,395777384.74
CZR,5994701941.68
CZWI,220850164.8
DAAQ,179227500.0
DAAQU,0.0
DAAQW,0.0
DADS,0.0
DAIC,2239208.55
DAICW,0.0
DAIO,39517408.7
DAK,0.0
DAKT,971274992.1
DALI,0.0
DAPP,0.0
DARE,31007569.14
DASH,70552455347.2
DAVE,3624910465.05
DAVEW,0.0
DAX,0.0
DBCA,308262000.0
DBCAU,0.0
DBCAW,0.0
DBGI,17698879.66
DBVT,953497511.46
DBX,4197472865.92
DCBO,433789505.59
DCGO,50376990.63
DCOY,3191808.0
DCTH,424271041.63
DCX,40440195.0
DDI,562431544.0
DDIV,0.0
DDOG,72970246264.86
DECO,0.0
